epoch,training_loss,training_acc,val_loss,val_acc
0,3.300684896663383,0.0337037037037037,3.2947509167370974,0.037037037037037035
1,3.2389013895282037,0.062037037037037036,2.9627957040513,0.15092592592592594
2,2.8427645868725246,0.1537037037037037,2.4999910667021243,0.25462962962962965
3,2.331032779343702,0.29537037037037034,2.4174923910586923,0.2712962962962963
4,1.977097429431699,0.39870370370370367,2.283902629451067,0.35462962962962963
5,1.7384199951119996,0.4559259259259259,1.9502357367633119,0.412962962962963
6,1.6204173968759952,0.4959259259259259,1.768735787613507,0.45925925925925926
7,1.469963588717359,0.5342592592592592,1.6539278934468273,0.49074074074074076
8,1.3936264703257217,0.5546296296296296,1.6984331057864,0.47870370370370374
9,1.343768631487533,0.5679629629629629,1.604390960089707,0.5212962962962964
10,1.2478201275242975,0.6031481481481481,1.324669165528138,0.5935185185185186
11,1.1970640483174335,0.6205555555555555,1.4282229551872998,0.5509259259259259
12,1.1385991854662145,0.6383333333333333,1.5458052561653413,0.5259259259259259
13,1.108139100836383,0.6416666666666666,1.4970889771917697,0.5342592592592593
14,1.071746445114776,0.6537037037037037,1.4833808845810212,0.5407407407407407
15,1.0230430539067903,0.6696296296296296,1.4408602121072396,0.5583333333333333
16,1.0206475001216555,0.662962962962963,1.6506204287927377,0.5518518518518519
17,0.9649563054605904,0.6862962962962963,1.3981095730311979,0.5611111111111111
18,0.9341567053830389,0.6901851851851851,1.722239368864663,0.5083333333333333
19,0.9227642863678436,0.6961111111111111,1.4055087157563928,0.5675925925925926
20,0.9179502403684806,0.6922222222222222,1.3662945691116706,0.587962962962963
21,0.8570991009965332,0.7181481481481481,1.9107993907829817,0.5074074074074074
22,0.8283960534811572,0.7196296296296296,1.4803803885290394,0.5750000000000001
23,0.837674625840521,0.7277777777777777,1.5468734831342266,0.5324074074074074
24,0.7997975838771607,0.7366666666666666,1.5457075340932027,0.5240740740740741
25,0.8303910955161512,0.731111111111111,1.4988019021176215,0.5962962962962963
26,0.7878973601835444,0.7392592592592592,1.4091661319473,0.5851851851851853
27,0.7821665585188721,0.7377777777777778,1.5220615937059787,0.5574074074074075
28,0.7611247635092931,0.742037037037037,1.4892498278964519,0.5777777777777778
29,0.7067855263003838,0.7624074074074074,1.379644240072661,0.6018518518518519
