epoch,training_loss,training_acc,val_loss,val_acc
0,3.3001670159675456,0.031296296296296294,3.2928155097696514,0.04259259259259259
1,3.265556584905695,0.05129629629629629,3.25700757128221,0.05092592592592593
2,3.0838140921460258,0.09092592592592592,3.081457474855361,0.10925925925925926
3,2.9508339591600277,0.12944444444444445,2.781075614194075,0.17222222222222222
4,2.7402896851301195,0.18277777777777776,2.655823718894411,0.20185185185185187
5,2.5926458698731882,0.21185185185185185,2.6497469233969846,0.20092592592592592
6,2.4734040702934617,0.24925925925925924,2.5484072786100485,0.23148148148148148
7,2.4319509212065626,0.2644444444444444,2.4863443603670157,0.2555555555555556
8,2.3528668978148035,0.26814814814814814,2.3699709357762777,0.26851851851851855
9,2.262854856473428,0.2912962962962963,2.39278733426774,0.27037037037037037
10,2.215707270111199,0.3137037037037037,2.3445958492380603,0.287962962962963
11,2.1882886506065176,0.3301851851851852,2.2008043090226472,0.32407407407407407
12,2.1384358171235633,0.32666666666666666,2.3982701261303627,0.2574074074074074
13,2.1422787314763774,0.3259259259259259,2.330596116888854,0.2990740740740741
14,2.094562662861965,0.34074074074074073,2.2893792166616076,0.3138888888888889
15,2.029057849626298,0.3574074074074074,2.2981709846191936,0.30833333333333335
16,2.030559908984988,0.35407407407407404,2.2831748704667443,0.30092592592592593
17,2.016689980140439,0.36296296296296293,2.3556450657132597,0.28240740740740744
18,2.0196724767210306,0.35259259259259257,2.4009513064391084,0.28425925925925927
19,1.9273378191446817,0.3883333333333333,2.2417017845091998,0.31851851851851853
20,1.9126347916821638,0.387037037037037,2.44210007735873,0.2611111111111111
21,1.9150297030530594,0.3831481481481481,2.2893253067439354,0.3037037037037037
22,1.873550575143761,0.397037037037037,2.391098278281451,0.29814814814814816
23,1.8371280828697814,0.41185185185185186,2.2675121814288475,0.3277777777777778
24,1.836516561911062,0.4083333333333333,2.4187342116816177,0.27870370370370373
25,1.789275341881094,0.42148148148148146,2.3025714507567936,0.29814814814814816
26,1.8206021517653157,0.4148148148148148,2.219936252709616,0.3212962962962963
27,1.7363057790669025,0.4338888888888889,2.341344312730211,0.30462962962962964
28,1.7497125023079139,0.4338888888888889,2.380188005252017,0.28055555555555556
29,1.7041651925279035,0.44,2.3714325196213193,0.28703703703703703
