epoch,training_loss,training_acc,val_loss,val_acc
0,3.2998029006852043,0.03648148148148148,3.2495456823596247,0.05925925925925926
1,3.021589379398911,0.10666666666666666,2.723229318857193,0.16203703703703703
2,2.5151659070341674,0.2274074074074074,2.3485750155868352,0.2796296296296296
3,2.103049785174705,0.34814814814814815,2.0562570724222393,0.3564814814814815
4,1.814459423776026,0.4357407407407407,1.8301308519310422,0.47222222222222227
5,1.6390686682528919,0.5074074074074074,2.1383356989740774,0.4046296296296297
6,1.3534326544514408,0.5744444444444444,1.3779748747539189,0.5777777777777778
7,1.2168003973033694,0.6261111111111111,1.4251334534061175,0.5805555555555556
8,1.1297025460335943,0.6635185185185185,1.2548105255873114,0.6157407407407408
9,0.9538086991136273,0.7055555555555555,1.0579785621828504,0.6814814814814815
10,0.8578379714102656,0.7362962962962962,1.1211194756475311,0.6398148148148148
11,0.9682308856880775,0.7074074074074074,1.3711243314599548,0.6
12,0.9207687223744061,0.7183333333333333,1.3989169865467206,0.5527777777777778
13,0.7998696092171249,0.752037037037037,1.134600533482929,0.6666666666666667
14,0.6388705614540312,0.8037037037037037,1.1541219111531973,0.6768518518518519
15,0.5834104333659289,0.8194444444444444,1.0783843743977033,0.6814814814814815
16,0.5214475900616014,0.8381481481481481,0.9268603473556815,0.725925925925926
17,0.42428976286168174,0.8648148148148148,1.142522993208668,0.6796296296296297
18,0.44443783657366615,0.8557407407407407,0.9051534155021526,0.7314814814814815
19,0.4281480095194032,0.861111111111111,1.0230869746387556,0.7157407407407408
20,0.5708317355752958,0.8257407407407407,0.9278778472820435,0.7277777777777779
21,0.4711042104254442,0.847037037037037,0.8643134067059253,0.7453703703703703
22,0.3944646674786108,0.8729629629629629,0.8982634788025515,0.7518518518518519
23,0.4090813455012351,0.8681481481481481,0.9621573938725136,0.7166666666666667
24,0.30120342266573397,0.9044444444444444,0.877630140846897,0.750925925925926
25,0.30628806461787056,0.8992592592592592,0.885146170136674,0.7592592592592593
26,0.23811511432760638,0.923148148148148,0.7917609375004692,0.7824074074074074
27,0.19512873459693597,0.9359259259259258,0.7649760884168144,0.7898148148148149
28,0.16320255403428477,0.947037037037037,0.966153246557547,0.737962962962963
29,0.17955600193796542,0.9457407407407407,0.9429410407696937,0.7546296296296297
